page_path,link_url,link_text,http_status_code,http_status,final_url
https://www.va.gov/houston-health-care/staff-profiles/kelly-a-irving/,https://www.va.gov/404.md/,,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/404.md/
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.noaa.gov/,National Oceanic and Atmospheric Administration,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.noaa.gov/
https://www.va.gov/houston-health-care/programs/emergency-resources/,http://gis.centerpointenergy.com/outagetracker/?WT_ac=OC_Image_Callout&_ga=2.15127600.765839779.1568763466-2142585516.1568763466,power outages,404,"Rejected status code (this depends on your ""accept"" configuration)",http://gis.centerpointenergy.com/outagetracker/?WT_ac=OC_Image_Callout&_ga=2.15127600.765839779.1568763466-2142585516.1568763466
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.12newsnow.com/weather,"KBMT-TC/Beaumont, ABC Ch. 12",,Timeout,https://www.12newsnow.com/weather
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.noaa.gov/news-release/noaa-predicts-another-active-atlantic-hurricane-season,National Oceanic and Atmospheric Administration,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.noaa.gov/news-release/noaa-predicts-another-active-atlantic-hurricane-season
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.phe.gov/preparedness/Pages/default.aspx,U.S. Department of Health & Human Services,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.phe.gov/preparedness/Pages/default.aspx
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.atlanticarea.uscg.mil/Our-Organization/District-8/District-Units/Sector-Houston-Galveston/,U.S. Coast Guard Sector Houston Command Center,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.atlanticarea.uscg.mil/Our-Organization/District-8/District-Units/Sector-Houston-Galveston/
https://www.va.gov/houston-health-care/programs/emergency-resources/,https://www.khou.com/weather,"KHOU-TV, CBS Ch. 11",,Timeout,https://www.khou.com/weather
https://www.va.gov/puget-sound-health-care/health-services/,https://www.sci.va.gov/Why_Choose_VA.asp,Why choose VA's spinal cord injuries and disorders for care?,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.sci.va.gov/Why_Choose_VA.asp
https://www.va.gov/puget-sound-health-care/work-with-us/internships-and-fellowships/mental-health-nurse-practitioner-residency/,https://www.cdc.gov/tb/topic/testing/healthcareworkers.htm,CDC health care personnel guidelines,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.cdc.gov/tb/topic/testing/healthcareworkers.htm
https://www.va.gov/puget-sound-health-care/work-with-us/internships-and-fellowships/mental-health-nurse-practitioner-residency/,https://exclusions.oig.hhs.gov/,List of Excluded Individuals and Entities (LEIE),,Too many redirects,https://exclusions.oig.hhs.gov/
https://www.va.gov/pacific-islands-health-care/stories/directors-message-october-13-2023/,https://rainn.org/about-national-sexual-assault-online-hotline,Sexual Assault Hotline,403,"Rejected status code (this depends on your ""accept"" configuration)",https://rainn.org/about-national-sexual-assault-online-hotline
https://www.va.gov/phoenix-health-care/staff-profiles/vicki-callahan-md/,https://dsva-vagov-prod-cms-files.s3.us-gov-west-1.amazonaws.com/styles/original/public/2025-07/Vickie.png,,403,"Rejected status code (this depends on your ""accept"" configuration)",https://dsva-vagov-prod-cms-files.s3.us-gov-west-1.amazonaws.com/styles/original/public/2025-07/Vickie.png
https://www.va.gov/portland-health-care/programs/covid-19-vaccines/visitor-policy-for-va-portland-health-care-system/,https://www.va.gov/portland-health-care/programs/covid-19-vaccines,Skip to Content,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/portland-health-care/programs/covid-19-vaccines
https://www.va.gov/south-texas-health-care/policies/,https://www.jointcommission.org/en-us/contact-us/report-a-patient-safety-event,Visit the Joint Commission page,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.jointcommission.org/en-us/contact-us/report-a-patient-safety-event
https://www.va.gov/spokane-health-care/work-with-us/,https://www.va.gov/osdbu/about/contacts.asp#sbl,,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/osdbu/about/contacts.asp#sbl
https://www.va.gov/washington-dc-health-care/stories/washington-dc-va-medical-center-earns-gold-seal-of-approval/,https://www.jointcommission.org/,The Joint Commission website,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.jointcommission.org/
https://www.va.gov/wilmington-health-care/news-releases/va-accepting-grant-applications-for-a-new-program-helping-veterans-their-spouses-transition-from-military/,https://www.whitehouse.gov/briefing-room/statements-releases/2023/06/09/fact-sheet-biden-harris-administration-announces-sweeping-executive-actions-to-strengthen-economic-opportunity-for-military-and-veteran-spouses-caregivers-and-survivors/,Executive Order signed by President Biden,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.whitehouse.gov/briefing-room/statements-releases/2023/06/09/fact-sheet-biden-harris-administration-announces-sweeping-executive-actions-to-strengthen-economic-opportunity-for-military-and-veteran-spouses-caregivers-and-survivors/
https://www.va.gov/wilmington-health-care/news-releases/va-accepting-grant-applications-for-a-new-program-helping-veterans-their-spouses-transition-from-military/,https://www.whitehouse.gov/joiningforces/,Joining Forces,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.whitehouse.gov/joiningforces/
